# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html and susv4-2018/utilities/*.html
# derivation: queue slice 31:62 of the canonical open shell-language then utility parent rows
# queue-offset: 31
# snapshot-count: 31
# shell-parent-count: 12
# utility-parent-count: 19
# ordered-parent-sha256: fd10bc944253186da2ad9efee81662b0a8f37be790837758a96fd39a63607068
# state invariant: every frontier parent remains open until every recursive requirement closes
row	domain	parent	title	source_member	source_sha256	requirement_count	requirement_sha256	q35_case	state	witness	next_action
utility:alias	utility	alias	alias	susv4-2018/utilities/alias.html#alias	bf7651e63dea89a361d85923bbdeef362804148af14c0e20aed22128eec029aa	49	fb1beb4ab6dc16a7df49f7a097619f8bbbda8f169dcf7b8f3e509b5b7ac6b86f	utility:alias.q35	open	missing:utility:alias_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:ar	utility	ar	ar	susv4-2018/utilities/ar.html#ar	3379a811f752048a93eb54feabd6d77f2b93ae358440a92a8af4a7b674f74d0b	138	1298c7621835a9505babaea9731cd2ac879f9dd677a441427174080e23463bf7	utility:ar.q35	open	missing:utility:ar_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:asa	utility	asa	asa	susv4-2018/utilities/asa.html#asa	a0aacac8b41fe7c40b54cc340da5a8e6b54457a0d9695d435f741109943657e6	51	e12b985d355732bf9e0cfca8bf38168b0238832376c022256b6b3fc07c6fd542	utility:asa.q35	open	missing:utility:asa_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:at	utility	at	at	susv4-2018/utilities/at.html#at	8bcde1f515587f31ba2087b39c3faf53a3cc3daaf9b39706359daa05efca5b85	101	25e566af995179b8185f540bd6ca20a03442bf649fb1b5729c07661717f65bb9	utility:at.q35	open	missing:utility:at_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:awk	utility	awk	awk	susv4-2018/utilities/awk.html#awk	330fb6d68c2071317d49bcd6ca0db37de4755b7b8544455e77cd73e60f73a347	511	a4a751ba471a5bf7416c99310f90d1741bd6775bda3cd6abc7e79bf09b561bcf	utility:awk.q35	open	missing:utility:awk_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:basename	utility	basename	basename	susv4-2018/utilities/basename.html#basename	ca894b3728bcb53aa5cda232d051ad80e957c515a8e771a427cc380b4c5b69ca	53	46b427e0f196455302f1868f41447e4d6da40899559090c82e1941f99397aba6	utility:basename.q35	open	missing:utility:basename_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:batch	utility	batch	batch	susv4-2018/utilities/batch.html#batch	4a12b82cc53f04301ee00efee300adc797d8c33cff8f360509c3b20497ac28fb	52	1e26bdeb63a4d9ebe51dfa6ca98d12b0db0737976b288b9004e9fceeea556e72	utility:batch.q35	open	missing:utility:batch_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:bc	utility	bc	bc	susv4-2018/utilities/bc.html#bc	ee5899725bfc81a30e4ceb44a719255ae6f63328cf72ed8d0d737768722cab9f	199	46d79d31c8bc1011052dd6bd02b7c36545f4a1e2320ff07064a4edf296f26f75	utility:bc.q35	open	missing:utility:bc_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:bg	utility	bg	bg	susv4-2018/utilities/bg.html#bg	bf3dfe3a3034438170d64fe14644290109bec8682f0cb5649550511548c38624	48	fee8132a8b09f07105ed245819e304e6fcf50b84f28d79773c3892d3f721a220	utility:bg.q35	open	missing:utility:bg_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:break	utility	break	break	susv4-2018/utilities/V3_chap02.html#tag_18_15	6d39837145486633ec8252034a73b615be7ddc6a35a969ac59f70bdaded3486a	30	9f4d48a007fdb3a786539d3894ba890bbb9b2a80aa2f0e065e89631b4e5924c8	utility:break.q35	open	missing:utility:break_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:c99	utility	c99	c99	susv4-2018/utilities/c99.html#c99	259fc566cb341c28f12ff7d74d27403fb73108f247f9652e4af96c322798b79d	221	6265258578ddad5ec00dca7611ca9d5186fd1a0d7acb0747a1fb69fd26c0e2e5	utility:c99.q35	open	missing:utility:c99_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:cal	utility	cal	cal	susv4-2018/utilities/cal.html#cal	38f841e3e76ef362e3e18475a8775e85a84755c97ae1b0cfe1a38aeefb5eaed4	46	affca84c3e7f4e85a3b2aae6da980d96d236630a231269fd87ddda22f5aa7f40	utility:cal.q35	open	missing:utility:cal_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:cat	utility	cat	cat	susv4-2018/utilities/cat.html#cat	14c9ae24cd5f0ecd9a68821d141a94506ee7084b334d3e87c50140f98ef07a23	48	3df43b249ea626c334922f316dcd5dcc26c0eeae0c9c67470bd78184b948f1b1	utility:cat.q35	open	missing:utility:cat_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:cd	utility	cd	cd	susv4-2018/utilities/cd.html#cd	531824666069781082577f2c2e851bd2dbe8e2e630399f7efbcedc3fc151d7e0	85	630dc13f2cebf7d9283481e23917c1874f65f7bce726c384e129d06cc6dc9b6a	utility:cd.q35	open	missing:utility:cd_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:cflow	utility	cflow	cflow	susv4-2018/utilities/cflow.html#cflow	7dfd4329e5c9bcbc3ab106609d4d789846bb707f10d713f8bb0966a2e6ea165f	50	a3a1818c4ffb007d2fa92a26cd5533d1caf106fe5771e63445bdb05185a75e8e	utility:cflow.q35	open	missing:utility:cflow_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:chgrp	utility	chgrp	chgrp	susv4-2018/utilities/chgrp.html#chgrp	d2e6bc92a98f5f9d93b36be4d7f5c877c848955b2e1fb2858d2aaa8174606d65	64	c7ea8501f156d3343d26144f1adc2d0db5bea4fc0607f6b0f3aef3886a654275	utility:chgrp.q35	open	missing:utility:chgrp_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:chmod	utility	chmod	chmod	susv4-2018/utilities/chmod.html#chmod	d725682c58a9e52314c34e4a87278ab7403361c0edc36e5d574096a50b68b424	119	906b1a28ed3f60a4ff73123df3e5a8d834f3d92613fb871c3b47f79eb317ee37	utility:chmod.q35	open	missing:utility:chmod_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:chown	utility	chown	chown	susv4-2018/utilities/chown.html#chown	16d875f97b75aa50c1f394daed1086768854d045f3aa4cd660788ddef9fb45f7	71	427932bbd891c45847ca7c7a523c49f8db5c5dd8cef6d424c96e64ad3a72b8a6	utility:chown.q35	open	missing:utility:chown_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
